date,site,depth,ind,fertile,frondMass,primaryLength,primaryWidth,frondLength,stipeMass,stipeLength,stipeCirc,tufts,totalLength
12-09-2018,Kalk_Bay,deep/adult,5,Yes,1.15,19,7,80,0.55,89,12,3,188
12-09-2018,Kalk_Bay,deep/adult,6,Yes,0.45,13,7,65,0.75,116,14,3,194
12-09-2018,Kalk_Bay,deep/adult,7,No,0.2,10,5,42,0.2,50,9,3,102
12-09-2018,Kalk_Bay,deep/adult,8,Yes,0.65,10,9,70,0.85,104,16,3,184
12-09-2018,Kalk_Bay,deep/adult,9,Yes ,0.4,13,6,48,0.7,123,13,3,184
12-09-2018,Kalk_Bay,deep/adult,10,No,0.4,12,4,87,0.45,83,12,3,182
12-09-2018,Kalk_Bay,deep/adult,11,No,0.5,11,7,95,0.55,78,13,3,184
12-09-2018,Kalk_Bay,deep/adult,12,Yes ,0.95,12,8,85,0.5,58,14,2,155
12-09-2018,Kalk_Bay,deep/adult,13,Yes,0.35,13,4,91,0.35,78,10,4,182
8-10-2018,Buffels_Bay,deep/adult,1,Yes,1.5,12,11,116,0.75,101,18.5,3,229
8-10-2018,Buffels_Bay,deep/adult,2,No,1.4,11,12.5,125,0.95,130,14.5,3,266
8-10-2018,Buffels_Bay,deep/adult,3,No,0.6,8,9,87,0.55,72,13,3,167
8-10-2018,Buffels_Bay,deep/adult,4,No,2.35,13,10.5,123,1.3,119,20,3,255
8-10-2018,Buffels_Bay,deep/adult,5,Yes,1.45,14,9.5,120,0.8,98,19.5,3,232
8-10-2018,Buffels_Bay,deep/adult,6,Yes,0.6,8,5,102,0.4,89,8.5,3,199
8-10-2018,Buffels_Bay,deep/adult,7,No,1.25,14,7,105,0.75,128,17,4,247
8-10-2018,Buffels_Bay,deep/adult,8,No,0.5,10,5,106.5,0.7,127,10,4,243.5
8-10-2018,Buffels_Bay,deep/adult,9,No,1.4,13,6,150,0.25,142.5,11.5,5,305.5
8-10-2018,Buffels_Bay,deep/adult,10,Yes,1,12,15,95,1,105.5,23,3,212.5
8-10-2018,Buffels_Bay,deep/adult,11,Yes,1,13,12,96.5,0.75,83,24,3,192.5
8-10-2018,Buffels_Bay,deep/adult,12,Yes,1.55,12,14,139,1.1,160,21.5,2,311
8-10-2018,Buffels_Bay,deep/adult,13,Yes,1.2,14.5,10,117,0.8,118,21,3,249.5
